EnglishText,UrduText
They seek to deceive Allah ( i . e . the Messenger ) and the believers but ( in fact ) they deceive only themselves and they are not aware of it .,وہ اللہ کو یعنی رسول صلی اللہ علیہ وآلہ وسلم کو اور ایمان والوں کو دھوکہ دینا چاہتے ہیں مگر فی الحقیقت وہ اپنے آپ کو ہی دھوکہ دے رہے ہیں اور انہیں اس کا شعور نہیں ہے ۔
"In their hearts is a disease . So Allah has worsened their disease . For them , there is painful punishment because they used to tell lies .",ان کے دلوں میں بیماری ہے ، پس اللہ نے ان کی بیماری کو اور بڑھا دیا اور ان کے لئے دردناک عذاب ہے ۔ اس وجہ سے کہ وہ جھوٹ بولتے تھے ۔
"When it is said to them : Do not spread disorder in the land , they say : It is we who reform .",اور جب ان سے کہا جاتا ہے کہ زمین میں فساد بپا نہ کرو ، تو کہتے ہیں : ہم ہی تو اصلاح کرنے والے ہیں ۔
"Beware ! ( Truly ) it is they who spread disorder , but they do not have any sense ( of it ) at all .",آگاہ ہو جاؤ ! یہی لوگ حقیقت میں فساد کرنے والے ہیں مگر انہیں اس کا احساس تک نہیں ۔
"And when it is said to them : Believe as ( other ) people have believed , they say : Shall we also believe ( as those ) fools have believed ? Beware ! ( Certainly ) they are themselves fools but they do not know ( their foolishness and low level ) .",اور جب ان سے کہا جاتا ہے کہ تم بھی ایمان لاؤ جیسے دوسرے لوگ ایمان لے آئے ہیں ، تو کہتے ہیں : کیا ہم بھی اسی طرح ایمان لے آئیں جس طرح وہ بیوقوف ایمان لے آئے ، جان لو ! بیوقوف درحقیقت وہ خود ہیں لیکن انہیں اپنی بیوقوفی اور ہلکے پن کا علم نہیں ۔
"And when they ( the hypocrites ) meet the believers , they say : We ( too ) have believed , and when they meet their devils in privacy they assure them : We are certainly with you . We only mock ( the believers ) .",اور جب وہ منافق اہل ایمان سے ملتے ہیں تو کہتے ہیں : ہم بھی ایمان لے آئے ہیں ، اور جب اپنے شیطانوں سے تنہائی میں ملتے ہیں تو کہتے ہیں : ہم یقیناً تمہارے ساتھ ہیں ، ہم مسلمانوں کا تو محض مذاق اڑاتے ہیں ۔
Allah punishes them for their mockery and lets them loose ( so that they meet their fate ) . So they are wandering blindly in their transgression .,اللہ انہیں ان کے مذاق کی سزا دیتا ہے اور انہیں ڈھیل دیتا ہے تاکہ وہ خود اپنے انجام تک جا پہنچیں سو وہ خود اپنی سرکشی میں بھٹک رہے ہیں ۔
These are the people who have purchased misguidance for guidance ; but their trade did not yield any gain and they did not know the way to ( gainful and profitable ) bargain .,یہی وہ لوگ ہیں جنہوں نے ہدایت کے بدلے گمراہی خریدی لیکن ان کی تجارت فائدہ مند نہ ہوئی اور وہ فائدہ مند اور نفع بخش سودے کی راہ جانتے ہی نہ تھے ۔
"Their example is like a person who lit a fire ( in surrounding darkness ) and when it brightened the environment , Allah took away their light and left them in total darkness . Now they cannot see anything .",ان کی مثال ایسے شخص کی مانند ہے جس نے تاریک ماحول میں آگ جلائی اور جب اس نے گرد و نواح کو روشن کر دیا تو اللہ نے ان کا نور سلب کر لیا اور انہیں تاریکیوں میں چھوڑ دیا اب وہ کچھ نہیں دیکھتے ۔
"They are deaf , dumb and blind . So they will not return ( to the right path ) .",یہ بہرے ، گونگے اور اندھے ہیں پس وہ راہِ راست کی طرف نہیں لوٹیں گے ۔
"Or their example is like a rain pouring from the sky wherein there are layers of darkness , thunder and lightning ( as well ) . They thrust their fingers into their ears fearing death owing to thunder . And Allah has encompassed the disbelievers .",یا ان کی مثال اس بارش کی سی ہے جو آسمان سے برس رہی ہے جس میں اندھیریاں ہیں اور گرج اور چمک بھی ہے تو وہ کڑک کے باعث موت کے ڈر سے اپنے کانوں میں انگلیاں ٹھونس لیتے ہیں ، اور اللہ کافروں کو گھیرے ہوئے ہے ۔
It seems as if the lightning would snatch away their sight .,یوں لگتا ہے کہ بجلی ان کی بینائی اُچک لے جائے گی ،
"When their ( surroundings ) are lit with a flash , they start walking",جب بھی ان کے لئے ماحول میں کچھ چمک ہوتی ہے تو اس میں چلنے لگتے ہیں
"and when darkness covers them , they stand still .",اور جب ان پر اندھیرا چھا جاتا ہے تو کھڑے ہو جاتے ہیں ،
"And if Allah willed , He could deprive them absolutely of hearing and sight .",اور اگر اللہ چاہتا تو ان کی سماعت اور بصارت بالکل سلب کر لیتا ،
Surely Allah is All - Powerful to do everything .,بیشک اللہ ہر چیز پر قادر ہے ۔
"O People ! Worship your Lord Who created you and ( also ) those who were before you , so that you become God - wary .",اے لوگو ! اپنے رب کی عبادت کرو جس نے تمہیں پیدا کیا اور ان لوگوں کو بھی جو تم سے پیشتر تھے تاکہ تم پرہیزگار بن جاؤ ۔
"( He is the One ) Who spread out the earth for you as a floor , and erected the sky as a mansion , and showered water from the sky and brought forth with that ( a variety of ) fruits for your nourishment .",جس نے تمہارے لئے زمین کو فرش اور آسمان کو عمارت بنایا اور آسمانوں کی طرف سے پانی برسایا پھر اس کے ذریعے تمہارے کھانے کے لئے انواع و اقسام کے پھل پیدا کئے ،
"So , do not set up equals with Allah while you know ( the truth of the matter ) .",پس تم اللہ کے لئے شریک نہ ٹھہراؤ حالانکہ تم حقیقتِ حال جانتے ہو ۔
"And if you are in doubt about this ( Book ) which We have revealed to Our ( exalted ) servant , then produce only one chapter like this . And ( for this task ) you may call upon ( all ) your helpers apart from Allah , if you are true ( in your doubt and denial ) .",اور اگر تم اس کلام کے بارے میں شک میں مبتلا ہو جو ہم نے اپنے برگزیدہ بندے پر نازل کیا ہے تو اس جیسی کوئی ایک سورت ہی بنا لاؤ ، اور اس کام کے لئے بیشک اللہ کے سوا اپنے سب حمائتیوں کو بلا لو اگر تم اپنے شک اور انکار میں سچے ہو ۔
But if you fail to do it and you shall never be able to do it then guard yourselves against the Fire whose fuel is human beings ( the disbelievers ) and stones ( their idols ) which is prepared for disbelievers .,پھر اگر تم ایسا نہ کر سکو اور ہرگز نہ کر سکو گے تو اس آگ سے بچو جس کا ایندھن آدمی یعنی کافر اور پتھر یعنی ان کے بت ہیں ، جو کافروں کے لئے تیار کی گئی ہے ۔
"And , ( O Beloved , ) give glad tidings to those who believe and keep doing pious deeds that for them there are gardens ( of Paradise ) beneath which streams flow .",اور اے حبیب ! آپ ان لوگوں کو خوشخبری سنا دیں جو ایمان لائے اور نیک عمل کرتے رہے کہ ان کے لئے بہشت کے باغات ہیں جن کے نیچے نہریں بہتی ہیں ،
When some fruit will be given to them from these gardens to eat they will say ( looking at its appearance ) :,جب انہیں ان باغات میں سے کوئی پھل کھانے کو دیا جائے گا تو اس کی ظاہری صورت دیکھ کر کہیں گے :
"This is the same fruit that was provided to us ( in the world ) before ,",یہ تو وہی پھل ہے جو ہمیں دنیا میں پہلے دیا گیا تھا ،
whereas they shall be given fruits resembling ( only in appearance ) .,حالانکہ انہیں صورت میں ملتے جلتے پھل دیئے گئے ہوں گے ،
In Paradise there will ( also ) be chaste spouses for them and they shall abide there forever .,ان کے لئے جنت میں پاکیزہ بیویاں بھی ہوں گی اور وہ ان میں ہمیشہ رہیں گے ۔
"Indeed Allah is not reluctant to narrate some example ( for better comprehension ) , whether of a mosquito or something even more ( disgusting ) than that .",بیشک اللہ اس بات سے نہیں شرماتا کہ سمجھانے کے لئے کوئی بھی مثال بیان فرمائے خواہ مچھر کی ہو یا ایسی چیز کی جو حقارت میں اس سے بھی بڑھ کر ہو ،
The believers know well that this example is a ( pointer to the Truth ) from their Lord .,تو جو لوگ ایمان لائے وہ خوب جانتے ہیں کہ یہ مثال ان کے رب کی طرف سے حق کی نشاندہی ہے ،
But those who have adopted disbelief ask ( on hearing ) : What could Allah mean by this example ?,اور جنہوں نے کفر اختیار کیا وہ اسے سن کر یہ کہتے ہیں کہ ایسی تمثیل سے اللہ کو کیا سروکار ؟
( In this way ) Allah holds many astray and guides many aright with the same example .,اس طرح اللہ ایک ہی بات کے ذریعے بہت سے لوگوں کو گمراہ ٹھہراتا ہے اور بہت سے لوگوں کو ہدایت دیتا ہے
And by this He leaves in error only those who are ( already ) disobedient .,اور اس سے صرف انہی کو گمراہی میں ڈالتا ہے جو پہلے ہی نافرمان ہیں ۔
"( These disobedient people are those ) who break the promise of Allah after having confirmed it , and break that ( relationship ) which Allah has ordered to join , and create disorder in the land . It is they who are the losers .",یہ نافرمان وہ لوگ ہیں جو اللہ کے عہد کو اس سے پختہ کرنے کے بعد توڑتے ہیں ، اور اس تعلق کو کاٹتے ہیں جس کو اللہ نے جوڑنے کا حکم دیا ہے اور زمین میں فساد بپا کرتے ہیں ، یہی لوگ نقصان اٹھانے والے ہیں ۔
"How can you deny Allah whereas you were lifeless and He gave you life , then He will cause you to die and will again bring you back to life , and then to Him will you be returned ?",تم کس طرح اللہ کا انکار کرتے ہو حالانکہ تم بے جان تھے اس نے تمہیں زندگی بخشی ، پھر تمہیں موت سے ہمکنار کرے گا اور پھر تمہیں زندہ کرے گا ، پھر تم اسی کی طرف لوٹائے جاؤ گے ۔
He is the One Who created for you all that is in the earth . Then He turned towards higher regions ( of the universe ) and perfected them into seven heavenly firmaments . And He has full knowledge of everything .,وہی ہے جس نے سب کچھ جو زمین میں ہے تمہارے لئے پیدا کیا ، پھر وہ کائنات کے بالائی حصوں کی طرف متوجہ ہوا تو اس نے انہیں درست کر کے ان کے سات آسمانی طبقات بنا دیئے ، اور وہ ہر چیز کا جاننے والا ہے ۔
"And ( call to mind ) when your Lord said to the angels : I am about to place My deputy on the earth . They submitted : Will You put as Your ( vicegerent ) on the earth such as will do mischief in it and shed blood , while we are engaged in glorifying You with celebrating Your Praise and extolling Your Holiness ( all the time ) ? ( Allah ) said : I know that which you do not know .",اور وہ وقت یاد کریں جب آپ کے رب نے فرشتوں سے فرمایا کہ میں زمین میں اپنا نائب بنانے والا ہوں ، انہوں نے عرض کیا : کیا تُو زمین میں کسی ایسے شخص کو نائب بنائے گا جو اس میں فساد انگیزی کرے گا اور خونریزی کرے گا ؟ حالانکہ ہم تیری حمد کے ساتھ تسبیح کرتے رہتے ہیں اور ہمہ وقت پاکیزگی بیان کرتے ہیں ، اللہ نے فرمایا : میں وہ کچھ جانتا ہوں جو تم نہیں جانتے ۔
"And Allah taught Adam the names of all ( things ) , and then set them before the angels and said : Tell Me the names of these things if you are true ( in your assumption ) .",اور اللہ نے آدم علیہ السلام کو تمام اشیاء کے نام سکھا دیئے پھر انہیں فرشتوں کے سامنے پیش کیا ، اور فرمایا : مجھے ان اشیاء کے نام بتا دو اگر تم اپنے خیال میں سچے ہو ۔
"The angels ( humbly ) submitted : Glory to You , You are Holy ( Free from every deficiency ) . We have no knowledge except that which You have taught us . Surely , You alone are All - Knowing , All - Wise .",فرشتوں نے عرض کیا : تیری ذات ہر نقص سے پاک ہے ہمیں کچھ علم نہیں مگر اسی قدر جو تو نے ہمیں سکھایا ہے ، بیشک تو ہی سب کچھ جاننے والا حکمت والا ہے ۔
"Allah said : O Adam , ( now ) apprise them of the names of these things . So when Adam had told them the names of those things , ( Allah ) said : Did I not tell you I know ( all ) the hidden realities of the heavens and the earth and also know all that you disclose and all that you conceal ?",اللہ نے فرمایا : اے آدم ! اب تم انہیں ان اشیاء کے ناموں سے آگاہ کرو ، پس جب آدم علیہ السلام نے انہیں ان اشیاء کے ناموں سے آگاہ کیا تو اللہ نے فرمایا : کیا میں نے تم سے نہیں کہا تھا کہ میں آسمانوں اور زمین کی سب مخفی حقیقتوں کو جانتا ہوں ، اور وہ بھی جانتا ہوں جو تم ظاہر کرتے ہو اور جو تم چھپاتے ہو ۔
And ( also recall the time ) when We commanded the angels : Prostrate yourselves before Adam . Then they all prostrated themselves to Adam except Iblis ( Satan ) . He refused and showed arrogance and ( consequently ) became one of the disbelievers .,اور وہ وقت بھی یاد کریں جب ہم نے فرشتوں سے فرمایا کہ آدم علیہ السلام کو سجدہ کرو تو سب نے سجدہ کیا سوائے ابلیس کے ، اس نے انکار اور تکبر کیا اور نتیجۃً کافروں میں سے ہو گیا ۔
"And We ordained : Adam , reside you and your wife in this Paradise and eat of it , both of you , whatever you like and from wherever you will . But do not go near this tree lest you ( join ) the transgressors .",اور ہم نے حکم دیا : اے آدم ! تم اور تمہاری بیوی اس جنت میں رہائش رکھو اور تم دونوں اس میں سے جو چاہو ، جہاں سے چاہو کھاؤ ، مگر اس درخت کے قریب نہ جانا ورنہ حد سے بڑھنے والوں میں شامل ہو جاؤ گے ۔
"Then Satan shook them from that place and removed them from the ( blissful ) location where they were . And ( eventually ) We ordained : Go down ( and live in the earth ) ; you will remain enemies to each other , and now in the earth has been destined a dwelling place and sustenance for you for a fixed time .",پھر شیطان نے انہیں اس جگہ سے ہلا دیا اور انہیں اس راحت کے مقام سے جہاں وہ تھے الگ کر دیا ، اور بالآخر ہم نے حکم دیا کہ تم نیچے اتر جاؤ ، تم ایک دوسرے کے دشمن رہو گے ۔ اب تمہارے لئے زمین میں ہی معیّنہ مدت تک جائے قرار ہے اور نفع اٹھانا مقدّر کر دیا گیا ہے ۔
"Then Adam learnt some words ( of humility and repentance ) from his Lord . So Allah accepted his repentance . Surely He is the One Who is Most Relenting , Ever - Merciful .",پھر آدم علیہ السلام نے اپنے رب سے عاجزی اور معافی کے چند کلمات سیکھ لئے پس اللہ نے ان کی توبہ قبول فرما لی ، بیشک وہی بہت توبہ قبول کرنے والا مہربان ہے ۔
"We said : Leave it ( the Paradise and settle in the earth ) all of you . Then if there comes to you Guidance from Me , whoever will follow My Guidance , neither shall any fear ( obsess ) them nor shall they grieve .",ہم نے فرمایا : تم سب جنت سے اتر جاؤ ، پھر اگر تمہارے پاس میری طرف سے کوئی ہدایت پہنچے تو جو بھی میری ہدایت کی پیروی کرے گا ، نہ ان پر کوئی خوف طاری ہوگا اور نہ وہ غمگین ہوں گے ۔
"And those who disbelieve and deny Our Revelations , it is they who shall be the inmates of Fire . They shall abide in it forever .",اور جو لوگ کفر کریں گے اور ہماری آیتوں کو جھٹلائیں گے تو وہی دوزخی ہوں گی ، وہ اس میں ہمیشہ رہیں گے ۔
"O Children of Yaqub ( Jacob ) ! Recall My favours which I bestowed upon you and fulfil the promise ( made ) to Me , I shall fulfil the promise ( made ) to you . And always fear Me alone .",اے اولادِ یعقوب ! میرے وہ انعام یاد کرو جو میں نے تم پر کئے اور تم میرے ساتھ کیا ہوا وعدہ پورا کرو میں تمہارے ساتھ کیا ہوا وعدہ پورا کروں گا ، اور مجھ ہی سے ڈرا کرو ۔
"And believe in ( the Book ) that I have revealed ( to My Messenger Muhammad , [ blessing and peace be upon him ] ) while it confirms ( originally ) that which you possess . And do not be the first to deny it nor barter My Revelations for a small ( worldly ) price . And fear Me alone .",اور اس کتاب پر ایمان لاؤ جو میں نے اپنے رسول محمد صلی اللہ علیہ وآلہ وسلم پر اتاری ہے ، حالانکہ یہ اس کی اصلاً تصدیق کرتی ہے جو تمہارے پاس ہے اور تم ہی سب سے پہلے اس کے منکر نہ بنو اور میری آیتوں کو دنیا کی تھوڑی سی قیمت پر فروخت نہ کرو اور مجھ ہی سے ڈرتے رہو ۔
And do not mix up the truth with falsehood nor conceal the truth deliberately .,اور حق کی آمیزش باطل کے ساتھ نہ کرو اور نہ ہی حق کو جان بوجھ کر چھپاؤ ۔
And establish Prayer and pay Zakat ( the Alms - due ) regularly and kneel down ( together ) with those who kneel down .,اور نماز قائم رکھو اور زکوٰۃ دیا کرو اور رکوع کرنے والوں کے ساتھ مل کر رکوع کیا کرو ۔
"Do you command others for piety and forget yourselves , while you ( also ) recite the Book ( of Allah ) ? So , do you not think ?",کیا تم دوسرے لوگوں کو نیکی کا حکم دیتے ہو اور اپنے آپ کو بھول جاتے ہو حالانکہ تم اللہ کی کتاب بھی پڑھتے ہو ، تو کیا تم نہیں سوچتے ؟ ۔
And seek ( Allahs ) help through patience and Prayer . But this is no doubt hard except for the humble ( whose hearts have been softened with the Love of Allah and gripped with His Fear ) .,اور صبر اور نماز کے ذریعے اللہ سے مدد چاہو ، اور بیشک یہ گراں ہے مگر ان عاجزوں پر ہرگز نہیں جن کے دل محبتِ الٰہی سے خستہ اور خشیتِ الٰہی سے شکستہ ہیں ۔
( It is they ) who are certain that they are about to meet their Lord and to Him are they going to return .,یہ وہ لوگ ہیں جو یقین رکھتے ہیں کہ وہ اپنے رب سے ملاقات کرنے والے ہیں اور وہ اسی کی طرف لوٹ کر جانے والے ہیں ۔
O Children of Yaqub ( Jacob ) ! Recall those favours that I bestowed upon you and that I exalted you above all the people ( of your age ) .,اے اولادِ یعقوب ! میرے وہ انعام یاد کرو جو میں نے تم پر کئے اور یہ کہ میں نے تمہیں اس زمانے میں سب لوگوں پر فضیلت دی ۔
And fear that Day when no soul shall be able to pay any compensation on behalf of another .,اور اُس دن سے ڈرو جس دن کوئی جان کسی دوسرے کی طرف سے کچھ بدلہ نہ دے سکے گی
Nor shall any intercession be accepted from him ( of a person who shall not have Allahs permission to intercede ) .,اور نہ اس کی طرف سے کسی ایسے شخص کی کوئی سفارش قبول کی جائے گی جسے اِذنِ اِلٰہی حاصل نہ ہوگا
Nor shall any compensation be accepted from him ( for his own salvation ) .,اور نہ اس کی طرف سے جان چھڑانے کے لئے کوئی معاوضہ قبول کیا جائے گا
And they will not be helped ( against Allahs decree ) .,اور نہ اَمرِ الٰہی کے خلاف ان کی اِمداد کی جا سکے گی ۔
"And ( also call to your mind the time ) when We delivered you from Pharaohs people , who used to inflict severe torment upon you : they slaughtered your sons and kept your daughters alive . There was an arduously terrible trial in it from your Lord .",اور وہ وقت بھی یاد کرو جب ہم نے تمہیں قومِ فرعون سے نجات بخشی جو تمہیں انتہائی سخت عذاب دیتے تھے تمہارے بیٹوں کو ذبح کرتے اور تمہاری بیٹیوں کو زندہ رکھتے تھے ، اور اس میں تمہارے پروردگار کی طرف سے بڑی کڑی آزمائش تھی ۔
And when We parted the river ( to rescue you ) and ( in this way ) delivered you and ( on the contrary ) We drowned Pharaohs people before your eyes .,اور جب ہم نے تمہیں بچانے کے لئے دریا کو پھاڑ دیا سو ہم نے تمہیں اس طرح نجات عطا کی اور دوسری طرف ہم نے تمہاری آنکھوں کے سامنے قومِ فرعون کو غرق کر دیا ۔
And ( also recall the time ) when We made an appointment with Musa ( Moses ) for forty nights . Then after Musa ( Moses went into retreat ) you took the calf as ( your ) god for worship and you were no doubt aweful transgressors .,اور وہ وقت بھی یاد کرو جب ہم نے موسیٰ علیہ السلام سے چالیس راتوں کا وعدہ فرمایا تھا پھر تم نے موسیٰ علیہ السلام کے چلّہءِ اعتکاف میں جانے کے بعد بچھڑے کو اپنا معبود بنا لیا اور تم واقعی بڑے ظالم تھے ۔
Then We pardoned you ( even ) after that so that you might give thanks .,پھر ہم نے اس کے بعد بھی تمہیں معاف کر دیا تاکہ تم شکرگزار ہو جاؤ ۔
And when We bestowed upon Musa ( Moses ) the Book and the miracle distinguishing the truth from falsehood so that you might take the path of guidance .,اور جب ہم نے موسیٰ علیہ السلام کو کتاب اور حق و باطل میں فرق کرنے والا معجزہ عطا کیا تاکہ تم راہِ ہدایت پاؤ ۔
"And when Musa ( Moses ) said to his people : O my people , no doubt you have ( seriously ) wronged your own souls in taking the calf ( as your god ) . Now turn in repentance to your Creator ( the True Sustainer ) .",اور جب موسیٰ علیہ السلام نے اپنی قوم سے کہا : اے میری قوم ! بیشک تم نے بچھڑے کو اپنا معبود بنا کر اپنی جانوں پر بڑا ظلم کیا ہے ، تو اب اپنے پیدا فرمانے والے حقیقی رب کے حضور توبہ کرو ،
"So , kill one another ( among yourselves so that those who have not taken the calf for worship and stuck to their religion should kill those who worshipped the calf as punishment for turning away from their religion .",پس آپس میں ایک دوسرے کو قتل کر ڈالو اس طرح کہ جنہوں نے بچھڑے کی پرستش نہیں کی اور اپنے دین پر قائم رہے ہیں وہ بچھڑے کی پرستش کر کے دین سے پھر جانے والوں کو سزا کے طور پر قتل کر دیں ،
This ( act ) would be the best ( repentance ) for you in the sight of your Creator .,یہی عمل تمہارے لئے تمہارے خالق کے نزدیک بہترین توبہ ہے ،
Then He accepted your repentance .,پھر اس نے تمہاری توبہ قبول فرما لی ،
"Surely , He is Most Relenting , Ever - Merciful .",یقینا وہ بڑا ہی توبہ قبول کرنے والا مہربان ہے ۔
"And when you said : O Musa ( Moses ) ! We will never believe in you until we see Allah completely unveiled ( before our eyes ) . So , ( on this ) a thunder seized ( and eliminated ) you , and you kept watching ( this spectacle yourselves ) .",اور جب تم نے کہا : اے موسیٰ ! ہم آپ پر ہرگز ایمان نہ لائیں گے یہاں تک کہ ہم اللہ کو آنکھوں کے سامنے بالکل آشکارا دیکھ لیں پس اس پر تمہیں کڑک نے آلیا جو تمہاری موت کا باعث بن گئی اور تم خود یہ منظر دیکھتے رہے ۔
Then We brought you back to life after your death so that you pay ( Us ) thanks .,پھر ہم نے تمہارے مرنے کے بعد تمہیں دوبارہ زندہ کیا تاکہ تم ہمارا شکر ادا کرو ۔
And ( recall ) when We cast the shade of clouds over you ( in the Tiha valley ) and sent down for you manna and quails so that you might eat of the pure things We provided for you . So they did not harm Us at all ( by disobeying and showing Us disregard ) but harmed persistently their own souls .,اور یاد کرو جب ہم نے تم پر وادئ تِیہ میں بادل کا سایہ کئے رکھا اور ہم نے تم پر مَنّ و سلوٰی اتارا کہ تم ہماری عطا کی ہوئی پاکیزہ چیزوں میں سے کھاؤ ، سو انہوں نے نافرمانی اور ناشکری کر کے ہمارا کچھ نہیں بگاڑا مگر اپنی ہی جانوں پر ظلم کرتے رہے ۔
"And ( remember ) when We said : Enter this city and eat as much as you wish from wherever you desire but enter ( the city ) gate prostrating and praying : ( O our Lord ! ) We seek forgiveness ( for all of our sins ) . We shall ( then ) forgive your ( previous ) sins and , ( besides , ) We shall bestow more ( favours and blessings ) upon the righteous .",اور یاد کرو جب ہم نے فرمایا : اس شہر میں داخل ہو جاؤ اور اس میں جہاں سے چاہو خوب جی بھر کے کھاؤ اور یہ کہ شہر کے دروازے میں سجدہ کرتے ہوئے داخل ہونا اور یہ کہتے جانا : اے ہمارے رب ! ہم سب خطاؤں کی بخشش چاہتے ہیں ، تو ہم تمہاری گزشتہ خطائیں معاف فرما دیں گے ، اور علاوہ اس کے نیکوکاروں کو مزید لطف و کرم سے نوازیں گے ۔
But ( those ) transgressors substituted some other phrase in place of that which was said to them . So We sent down a calamity from heaven on ( those ) evildoers ( in the form of plague ) because they were disobeying ( persistently ) .,پھر ان ظالموں نے اس قول کو جو ان سے کہا گیا تھا ایک اور کلمہ سے بدل ڈالا سو ہم نے ان ظالموں پر آسمان سے بصورتِ طاعون سخت آفت اتار دی اس وجہ سے کہ وہ مسلسل حکم عدولی کر رہے تھے ۔
And ( recall also the time ) when Musa ( Moses ) prayed for water for his people . We directed : Strike that rock with your stick . Then twelve springs gushed out of that ( rock ) . Verily each clan identified their respective drinking place . ( We said : ) Eat and drink of the sustenance ( given ) by Allah but do not seek doing mischief in the land .,اور وہ وقت بھی یا دکرو جب موسیٰ علیہ السلام نے اپنی قوم کے لئے پانی مانگا تو ہم نے فرمایا : اپنا عصا اس پتھر پر مارو ، پھر اس پتھر سے بارہ چشمے پھوٹ پڑے ، واقعۃً ہر گروہ نے اپنا اپنا گھاٹ پہچان لیا ، ہم نے فرمایا : اﷲ کے عطا کردہ رزق میں سے کھاؤ اور پیو لیکن زمین میں فساد انگیزی نہ کرتے پھرو ۔
"And when you said : O Musa ( Moses ) , we cannot be content with only one kind of food ( i . e . manna and quails ) , so pray to your Lord ( in our favour ) that He may bring forth for us of cultivated produce : green herbs , cucumbers , wheat , garlic , lentils and onions .",اور جب تم نے کہا : اے موسیٰ ! ہم فقط ایک کھانے یعنی منّ و سلویٰ پر ہرگز صبر نہیں کر سکتے تو آپ اپنے رب سے ہمارے حق میں دعا کیجئے کہ وہ ہمارے لئے زمین سے اگنے والی چیزوں میں سے ساگ اور ککڑی اور گیہوں اور مسور اور پیاز پیدا کر دے ،
( Musa [ Moses ] ) said ( to his people ) : Do you demand something inferior in exchange for something superior ? ( And if that is what you wish then ) go down to any city . Surely ( there ) will be ( available ) all what you demand .,موسیٰ علیہ السلام نے اپنی قوم سے فرمایا : کیا تم اس چیز کو جو ادنیٰ ہے بہتر چیز کے بدلے مانگتے ہو ؟ اگر تمہاری یہی خواہش ہے تو کسی بھی شہر میں جا اترو یقیناً وہاں تمہارے لئے وہ کچھ میسر ہو گا جو تم مانگتے ہو ،
Then dishonour and deprivation were brought upon them and they incurred the wrath of Allah because they used to deny the Signs of Allah and kill the Prophets unjustly .,اور ان پر ذلّت اور محتاجی مسلط کر دی گئی ، اور وہ اللہ کے غضب میں لوٹ گئے ، یہ اس وجہ سے ہوا کہ وہ اللہ کی آیتوں کا انکار کیا کرتے اور انبیاء کو ناحق قتل کرتے تھے ،
